id	filename	md5	size	state
65139ff4-fc1e-49cf-bddf-6aa132c1ac6d	7989aed0-f0bc-4f0c-a8ae-f084221ed3f5.htseq.counts.gz	e8ea10a2a5d6605269b39fa43b69048d	251516	validated
655e2e8a-7bbc-4071-87b6-1c74f46f6eff	464c3bd5-5bd2-415f-919e-a5a779a103c4.htseq.counts.gz	d4751286d6d8baea9d0568a3e8f7f09b	255216	validated
6678782e-059f-4b64-9d0f-b1415b47bcae	d5612378-33e0-4fe5-ad2f-a1887fb7b5cd.htseq.counts.gz	68c1e63474ddb024bf75656d4d462624	253202	validated
691ffe9f-ae48-41ff-a88f-8cff711f5ea8	aab761be-87c9-41a2-99b8-8bed9032333c.htseq.counts.gz	f2e97d8015fdaa83ee045899b62cebc6	253466	validated
6b9c767f-2870-4e60-a25e-1ad4402edca5	12caae52-5f67-4df5-9e83-072844acd484.htseq.counts.gz	c66bad39626eaf35e441e98b114c8ef5	254617	validated
6da17f3f-d4ee-4ace-a6f7-702454c8f0e9	b9ab7393-4abb-41ec-9d55-a3dc846c4a93.htseq.counts.gz	3248a753458c90807588ccd61d415fd9	256821	validated
6dce2816-9cd8-4041-baf3-7d71e2ff2b24	731337f2-a700-43d4-9f37-ee04ae39a932.htseq.counts.gz	af609b3c299e1bc796681d24033de5ec	253884	validated
6f85af42-cf48-467a-a239-52e9ca745601	4df16e07-cdbc-46cc-8b9c-39d4a9dca09e.htseq.counts.gz	7fcd376c14962c3cf3614e6288957aeb	254173	validated
70384aa6-6300-41b3-80fd-8b8e93f0817a	702f6e87-99e7-47fb-a1bf-58b813489e6d.htseq.counts.gz	50ae0d9c1d5d9515aeac210427fb6f73	252436	validated
71d53e0b-1b75-4046-b339-056dcf61cf00	a995d6ba-19c7-498f-b2d8-3f9b4b4826a1.htseq.counts.gz	d23f52fdfb8ce8cecd04189aa9974350	248172	validated
75fd5507-2758-4f94-8ea9-3f8f60d87eb7	65a45bca-b5d4-4763-a51f-f7b9ad9efcb9.htseq.counts.gz	4278555b5e4f9e2053a1b1108d065af6	252514	validated
76b51f40-c99c-4d00-90d1-f1458836ae1a	e770b299-b4c2-4dee-95a8-abc3c5773439.htseq.counts.gz	b8ea0d355f0fdd2f92e3360d44e5da16	252879	validated
787a9458-bce0-4238-95a6-5647aa166e11	a19219b1-db59-4493-83ef-e938e2ffdefd.htseq.counts.gz	045289b53f2aa47bbf63b292a4357403	251932	validated
78a81634-dc54-4d9f-93a5-0b1be6a567a0	e7cc80ef-4b87-47d9-bebe-1fb05b5b04a2.htseq.counts.gz	5d4b0ab6b66c1cfe1843f2956d7c4e0e	261351	validated
78bb8d49-54aa-43a1-aec4-31da818cdb14	1f997074-0020-47e6-9928-5bf7209c552d.htseq.counts.gz	31eaf2ddc469f44cbbcddf92e631af67	250443	validated
7e374f79-6f9b-4034-b4cb-d71b7404682a	4172e3f8-3578-4f33-9168-6f8c2b8d0783.htseq.counts.gz	ea2325dbb6d75ebd2fd8013d986ada4c	255804	validated
7fa837c1-9fb9-4c4d-ac22-4bd3a058acf3	5aed2227-1f31-4159-9eed-430bc45c61dc.htseq.counts.gz	b406deaf25db2bede4eca7cdbfc1e0fc	251870	validated
